Sample;Site;Species;Depth;Depthclass;%N;% C;C:N
100;125J;Acer; 5-15;2;0.21398208;3.154420134;14.74151545
121;125J;Acer; 0-5;1;0.379993902;4.912490973;12.9278153
120;125J;Acer; 15-25;3;0.145256448;2.62262224;18.05511749
126;125J;Acer; 25-40;4;0.119711522;2.303580291;19.24276165
79;126F;Picea_sit; 0-5;1;0.513921839;7.659986369;14.90496373
87;126F;Picea_sit; 15-25;3;0.167317747;2.641666995;15.78832514
95;126F;Picea_sit; 25-40;4;0.13088797;2.177842382;16.63898055
104;126F;Picea_sit; 25-40;4;0.13110269;2.180577646;16.63259266
143;126F;Picea_sit; 5-15;2;0.164737893;1.744570898;10.58997944
72;126Y;Fraxinus; 5-15;2;0.272871684;3.767673087;13.80749016
92;126Y;Fraxinus; 25-40;4;0.119347123;2.199425529;18.42881066
96;126Y;Fraxinus; 0-5;1;0.560535552;6.819863399;12.16669196
118;126Y;Fraxinus; 15-25;3;0.151435217;2.657282218;17.54732001
40;127E;Quercus; 5-15;2;0.240934952;3.585404198;14.88121241
77;127E;Quercus; 25-40;4;0.13996484;2.361125606;16.86941957
105;127E;Quercus; 0-5;1;0.447685404;6.374198612;14.23812023
133;127E;Quercus; 15-25;3;0.130981656;1.295282062;9.889034069
110;130E 1;Picea_ab; 0-5;1;0.630498777;8.661298745;13.73721736
119;130E 1;Picea_ab; 5-15;2;0.228831709;3.522244393;15.39229158
123;130E 1;Picea_ab; 25-40;4;0.139734498;2.355951239;16.86019759
128;130E 1;Picea_ab; 15-25;3;0.162937139;2.710944481;16.63797764
2;130P;Populus; 15-25;3;0.156013109;2.625070511;16.82596112
16;130P;Populus; 15-25;3;0.149958663;2.605731207;17.37632999
19;130P;Populus; 0-5;1;0.370655433;4.999120472;13.48724456
22;130P;Populus; 5-15;2;0.194327839;2.958489964;15.22422101
70;130P;Populus; 25-40;4;0.134667978;2.366897248;17.5757985
9;130Q1;Acer; 15-25;3;0.155828572;2.539280062;16.29534318
14;130Q1;Acer; 25-40;4;0.126107504;2.257190991;17.89894279
33;130Q1;Acer; 15-25;3;0.156002643;2.515745238;16.12629886
36;130Q1;Acer; 5-15;2;0.203752194;3.064833815;15.04196721
66;130Q1;Acer; 0-5;1;0.437261682;5.803702026;13.2728347
7;130T2;Fraxinus; 0-5;1;0.51395777;6.279059392;12.21707261
13;130T2;Fraxinus; 5-15;2;0.22710261;3.449157696;15.18766208
24;130T2;Fraxinus; 25-40;4;0.141667071;2.518168858;17.77525885
53;130T2;Fraxinus; 15-25;3;0.151589786;2.611197471;17.22541827
30;131N2;Picea_ab; 0-5;1;0.415385387;6.609373771;15.91142581
41;131N2;Picea_ab; 5-15;2;0.19645388;3.226142801;16.42188383
56;131N2;Picea_ab; 15-25;3;0.158957327;2.645756104;16.64444263
88;131N2;Picea_ab; 25-40;4;0.13401778;2.383914871;17.78804921
138;131V 1;Fraxinus; 0-5;1;0.352040363;3.41186608;9.69169003
140;131V 1;Fraxinus;25-40;4;0.079891535;0.994228824;12.44473297
142;131V 1;Fraxinus; 5-15;2;0.124855991;1.357574419;10.873122
74;131V1;Fraxinus; 15-25;3;0.169630425;2.69269894;15.87391496
25;131V2;Populus; 15-25;3;0.177547026;2.716192701;15.29844097
49;131V2;Populus; 0-5;1;0.500645432;6.217858768;12.41968542
50;131V2;Populus; 25-40;4;0.134550045;2.208037923;16.41053273
73;131V2;Populus; 5-15;2;0.277481849;3.998367053;14.40947244
11;133U1;Picea_ab; 0-5;1;0.600113071;8.000073063;13.33094286
26;133U1;Picea_ab; 5-15;2;0.255386332;3.834706066;15.0153144
28;133U1;Picea_ab; 25-40;4;0.136796295;2.302993587;16.83520442
44;133U1;Picea_ab; 15-25;3;0.156157922;2.629318355;16.83755978
3;133U2;Populus; 0-5;1;0.604947544;6.844836524;11.31476042
12;133U2;Populus; 15-25;3;0.173888167;2.855821746;16.42332423
32;133U2;Populus; 25-40;4;0.124528774;2.146780195;17.23923012
42;133U2;Populus; 5-15;2;0.296765427;4.017776331;13.53855929
8;133V1;Acer; 25-40;4;0.169460376;2.903575592;17.13424493
10;133V1;Acer; 0-5;1;0.51316872;6.46472344;12.59765685
17;133V1;Acer; 15-25;3;0.188030692;3.062312081;16.2862352
18;133V1;Acer; 5-15;2;0.274692042;3.969000843;14.44891091
34;133V1;Acer; 15-25;3;0.192810604;3.137487099;16.27237838
63;156Q;Picea_sit; 5-15;2;0.241635066;3.436138198;14.22036233
65;156Q;Picea_sit; 15-25;3;0.152127175;2.432798067;15.99187035
80;156Q;Picea_sit; 0-5;1;0.588843268;8.097780592;13.75201353
81;156Q;Picea_sit; 25-40;4;0.138321347;2.311831757;16.71348494
89;157L;Quercus; 5-15;2;0.223810716;3.295878031;14.72618507
98;157L;Quercus; 25-40;4;0.150537087;2.417709918;16.06055996
111;157L;Quercus;0-5;1;0.619888548;8.24140279;13.29497507
116;157L;Quercus; 15-25;3;0.158087143;2.554551586;16.1591356
71;158G;Quercus; 0-5;1;0.513065664;7.400181969;14.42345979
97;158G;Quercus; 5-15;2;0.221818002;3.39274581;15.29517795
99;158G;Quercus; 25-40;4;0.132161822;2.283962131;17.28155752
129;158G;Quercus; 25-40;4;0.160179251;2.732079837;17.05639039
141;158G;Quercus;15-25;3;0.150323051;1.435497986;9.549420219
113;158J 1;Picea_ab; 5-15;2;0.22510949;3.562900527;15.82741149
144;158J 1;Picea_ab; 25-40;4;0.09689655;1.086152136;11.2093995
64;158J1;Picea_ab; 0-5;1;0.57147338;8.3686974;14.64407214
68;158J1;Picea_ab; 15-25;3;0.153728394;2.55958157;16.65002479
93;158N;Fraxinus; 0-5;1;0.613782946;6.977718677;11.36838149
106;158N;Fraxinus; 25-40;4;0.158996586;2.646004615;16.64189576
112;158N;Fraxinus; 5-15;2;0.223129684;3.079063376;13.79943415
114;158N;Fraxinus; 15-25;3;0.172163472;2.818420357;16.37060593
47;159N;Acer;15-25;3;0.145350607;2.36838573;16.29429545
48;159N;Acer; 5-15;2;0.188687191;3.014129037;15.97421115
51;159N;Acer; 0-5;1;0.41054125;5.70823253;13.90416316
94;159N;Acer;25-40;3;0.144954456;2.592737027;17.88656309
84;159P;Picea_ab; 25-40;4;0.147406588;2.686889684;18.22774486
103;159P;Picea_ab; 15-25;3;0.147484756;2.569947936;17.4251767
107;159P;Picea_ab; 5-15;2;0.233816874;3.565622559;15.24963746
145;159P;Picea_ab; 0-5;1;0.381645279;5.233023882;13.71174796
78;160D;Picea_ab; 5-15;2;0.240194908;3.866013831;16.09531969
85;160D;Picea_ab; 25-40;4;0.134524944;2.32503316;17.28328658
109;160D;Picea_ab; 0-5;1;0.551596026;8.225638378;14.91243226
125;160D;Picea_ab; 15-25;3;0.155762504;2.753129739;17.67517644
130;160L 1;Fagus; 25-40;4;0.102835752;1.767911813;17.19160674
135;160L 1;Fagus; 5-15;2;0.202278603;2.151362884;10.63564241
136;160L 1;Fagus; 0-5;1;0.298070073;3.947827154;13.24462772
91;160L1;Fagus; 15-25;3;0.156778182;2.5892922;16.51564117
76;126E;Fagus; 0-5;1;0.386406619;6.217952213;16.09173318
117;126E;Fagus; 25-40;4;0.123337435;2.152020329;17.44823319
124;126E;Fagus; 25-40;4;0.165527969;2.819732571;17.03478019
134;126E;Fagus; 25-40;4;0.123748222;1.344791203;10.86715578
61;127F;Picea_sit; 25-40;4;0.16077532;2.495973883;15.52460839
115;127F;Picea_sit; 5-15;2;0.211855269;3.058075667;14.43473972
139;127F;Picea_sit; 0-5;1;0.414122139;4.461015826;10.7722225
4;131M;Quercus; 0-5;1;0.333024305;4.57209454;13.72901159
5;131M;Quercus; 5-15;2;0.155783964;2.512240928;16.1264412
21;131M;Quercus; 5-15;2;0.164998294;2.769062293;16.78236923
27;131M;Quercus; 5-15;1;0.220047857;3.559953443;16.1780873
54;131M;Quercus; 25-40;4;0.157079194;2.344592076;14.9261784
20;131N1;Fagus; 25-40;4;0.12609595;2.299820856;18.23865761
29;131N1;Fagus; 0-5;1;0.14428922;2.375532151;16.46368419
37;131N1;Fagus; 5-15;2;0.184208087;2.935930004;15.93811676
15;132Q;Fagus; 25-40;4;0.131612981;2.243951852;17.04962416
31;132Q;Fagus; 15-25;3;0.134511623;2.373373884;17.64437768
38;132Q;Fagus; 0-5;1;0.312668728;4.625582265;14.79387561
43;134T;Quercus; 0-5;1;0.505407812;7.118156641;14.08398618
75;134T;Quercus; 25-40;4;0.131369832;2.339373407;17.80753898
108;134T;Quercus; 5-15;2;0.23034497;3.380034009;14.6737913
132;134T ;Quercus; 25-40;4;0.151035085;1.690728748;11.19427813
46;134X;Fagus;mei-15;2;0.223361169;3.448675852;15.43990779
52;134X;Fagus; 0-5;1;0.365286278;5.605310593;15.3449799
55;134X;Fagus; 25-40;4;0.123941154;2.176342216;17.55947996
69;134X;Fagus; 15-25;3;0.173626116;2.886616429;16.62547374
45;135J;Acer; 15-25;3;0.166825442;2.794609952;16.7517012
90;135J;Acer; 0-5;1;0.423126619;5.440749334;12.85844258
101;135J;Acer; 25-40;4;0.148085533;2.503283764;16.90431007
67;157G;Populus; 5-15;2;0.322683249;4.144297843;12.84323825
102;157G;Populus; 25-40;4;0.159257127;2.559334914;16.07045766
137;157G;Populus; 0-5;1;0.6181018;6.883133333;11.13592184
62;157M;Picea_ab; 0-5;1;0.46195964;6.925303269;14.99114352
82;157M;Picea_ab; 25-40;4;0.150596623;2.560611407;17.00311306
83;157M;Picea_ab; 15-25;3;0.178282853;3.129212678;17.55195534
23;159L;Fraxinus; 15-25;3;0.142211653;2.564946767;18.03612229
35;159L;Fraxinus; 0-5;1;0.539219714;6.438701278;11.94077501
39;159L;Fraxinus; 25-40;4;0.136803223;2.23316653;16.32393212
122;159L;Fraxinus; 5-15;2;0.207986977;3.139304163;15.09375353
127;159L ;Fraxinus; 25-40;4;0.165374745;2.626280419;15.88078285
